Round   1   [ A of Club     ,  2 of Spades   ,  3 of Hearts   ,  4 of Club     ]    
Round   2   [ K of Hearts   ,  5 of Diamonds ,  6 of Diamonds ,  5 of Spades   ]    
Round   3   [ 4 of Spades   ,  Q of Hearts   ,  J of Spades   ,  7 of Spades   ]    
Round   4   [ J of Spades   ,  7 of Diamonds ,  6 of Hearts   ,  A of Spades   ]    
Round   5   [ Q of Diamonds ,  7 of Hearts   ,  2 of Diamonds ,  8 of Hearts   ]    
Round   6   [10 of Hearts   ,  4 of Spades   ,  2 of Spades   ,  A of Diamonds ]    
Round   7   [ A of Hearts   ,  2 of Hearts   ,  3 of Spades   ,  8 of Spades   ]    
Round   8   [10 of Hearts   ,  3 of Spades   ,  9 of Hearts   ,  J of Spades   ]    
Round   9   [ J of Spades   ,  Q of Diamonds ,  A of Club     ,  Q of Hearts   ]    
Round  10   [ 9 of Hearts   ,  4 of Club     ,  K of Diamonds ,  8 of Club     ]    
Round  11   [ 2 of Spades   ,  9 of Diamonds ,  J of Spades   ,  5 of Hearts   ]    
Round  12   [ 8 of Hearts   ,  7 of Spades   ,  6 of Spades   ,  3 of Diamonds ]    
Round  13   [ J of Diamonds ,  Q of Diamonds ,  K of Club     ,  9 of Spades   ]    
Round  14   [10 of Hearts   ,  9 of Spades   ,  A of Diamonds ,  J of Spades   ]    
Round  15   [ 8 of Hearts   ,  5 of Diamonds ,  4 of Club     ,  2 of Hearts   ]    
Round  16   [ Q of Club     ,  Q of Hearts   ,  5 of Club     ,  4 of Club     ]    
Round  17   [ 5 of Hearts   ,  2 of Spades   ,  6 of Diamonds ,  J of Spades   ]    
Round  18   [ A of Hearts   , 10 of Hearts   ,  8 of Spades   ,  9 of Spades   ]    
Round  19   [ J of Spades   ,  3 of Diamonds ,  5 of Club     ,  K of Diamonds ]    
Round  20   [ 4 of Club     , 10 of Club     ,  6 of Club     ,  5 of Hearts   ]    
Round  21   [ 2 of Hearts   ,  J of Hearts   ,  8 of Spades   ,  7 of Diamonds ]    
Round  22   [ 5 of Diamonds ,  6 of Diamonds ,  7 of Club     , 10 of Hearts   ]    
Round  23   [ 5 of Club     ,  A of Club     ,  J of Club     ,  3 of Spades   ]    
Round  24   [ 6 of Club     ,  A of Hearts   ,  Q of Spades   , 10 of Spades   ]    
Round  25   [ 5 of Hearts   ,  5 of Club     , 10 of Spades   ,  2 of Hearts   ]    
Round  26   [ J of Club     ,  A of Spades   ,  8 of Spades   , 10 of Club     ]    
Round  27   [10 of Hearts   ,  9 of Hearts   ,  2 of Spades   , 10 of Club     ]    
Round  28   [ 5 of Spades   ,  9 of Spades   ,  Q of Diamonds ,  2 of Club     ]    
Round  29   [ K of Club     ,  A of Club     ,  3 of Club     ,  Q of Diamonds ]    
Round  30   [ J of Spades   ,  7 of Spades   ,  4 of Diamonds ,  3 of Hearts   ]    
Round  31   [ 3 of Club     ,  9 of Club     ,  3 of Hearts   ,  5 of Diamonds ]    
Round  32   [ 7 of Club     ,  9 of Hearts   ,  A of Hearts   ,  5 of Diamonds ]    
Round  33   [ A of Spades   ,  4 of Club     ,  A of Club     ,  9 of Club     ]    
Round  34   [ 9 of Spades   ,  6 of Hearts   ,  Q of Diamonds ,  2 of Diamonds ]    
Round  35   [ 6 of Club     ,  K of Diamonds ,  Q of Club     ,  6 of Diamonds ]    
Round  36   [ J of Diamonds ,  K of Club     ,  6 of Spades   ,  3 of Diamonds ]    
Round  37   [10 of Diamonds ,  3 of Hearts   ,  4 of Diamonds ,  6 of Club     ]    
Round  38   [ 7 of Hearts   ,  9 of Club     ,  7 of Diamonds ,  3 of Spades   ]    
Round  39   [ 7 of Spades   ,  8 of Spades   ,  3 of Club     ,  A of Diamonds ]    
Round  40   [ 2 of Diamonds ,  3 of Diamonds ,  6 of Hearts   ,  3 of Club     ]    
Round  41   [ 5 of Spades   , 10 of Spades   , 10 of Hearts   ,  7 of Hearts   ]    
Round  42   [ A of Hearts   ,  5 of Club     ,  3 of Diamonds ,  9 of Diamonds ]    
Round  43   [ A of Spades   ,  9 of Club     ,  Q of Club     ,  3 of Hearts   ]    
Round  44   [ 5 of Diamonds ,  6 of Hearts   ,  J of Hearts   , 10 of Hearts   ]    
Round  45   [ 5 of Hearts   , 10 of Diamonds ,  9 of Diamonds ,  J of Diamonds ]    
Round  46   [ 3 of Spades   ,  K of Hearts   ,  A of Hearts   ,  9 of Spades   ]    
Round  47   [ 9 of Spades   ,  3 of Club     ,  A of Spades   ,  J of Diamonds ]    
Round  48   [ 5 of Diamonds ,  8 of Diamonds ,  Q of Club     ,  9 of Spades   ]    
Round  49   [ J of Hearts   ,  8 of Club     , 10 of Hearts   ,  3 of Club     ]    
Round  50   [ K of Diamonds ,  5 of Club     ,  A of Club     , 10 of Spades   ]    
Round  51   [ 5 of Club     ,  4 of Diamonds , 10 of Club     ,  Q of Hearts   ]    
Round  52   [10 of Diamonds ,  8 of Spades   ,  5 of Diamonds ,  5 of Hearts   ]    
Round  53   [ 2 of Diamonds ,  Q of Hearts   ,  8 of Diamonds ,  7 of Club     ]    
Round  54   [ A of Hearts   ,  7 of Hearts   ,  2 of Diamonds ,  9 of Diamonds ]    
Round  55   [ 3 of Club     ,  9 of Club     ,  6 of Hearts   ,  2 of Club     ]    
Round  56   [ Q of Hearts   ,  Q of Club     ,  3 of Spades   ,  5 of Spades   ]    
Round  57   [ A of Diamonds ,  5 of Spades   , 10 of Spades   ,  7 of Diamonds ]    
Round  58   [ A of Diamonds ,  9 of Diamonds ,  4 of Hearts   ,  6 of Hearts   ]    
Round  59   [ Q of Club     ,  A of Club     ,  8 of Hearts   ,  8 of Diamonds ]    
Round  60   [ 6 of Diamonds ,  J of Spades   ,  A of Diamonds , 10 of Hearts   ]    
Round  61   [ 6 of Spades   ,  9 of Club     ,  J of Club     ,  7 of Club     ]    
Round  62   [ 8 of Club     ,  9 of Diamonds , 10 of Hearts   ,  7 of Club     ]    
Round  63   [ Q of Hearts   ,  2 of Diamonds ,  3 of Club     ,  5 of Club     ]    
Round  64   [ 6 of Spades   ,  9 of Spades   ,  8 of Diamonds ,  K of Hearts   ]    
Round  65   [ 2 of Spades   ,  J of Spades   ,  K of Hearts   ,  9 of Club     ]    
Round  66   [ 4 of Club     ,  Q of Hearts   ,  7 of Club     ,  5 of Spades   ]    
Round  67   [ K of Hearts   ,  2 of Spades   ,  6 of Spades   ,  4 of Hearts   ]    
Round  68   [ Q of Club     ,  A of Spades   ,  K of Diamonds ,  9 of Club     ]    
Round  69   [ 2 of Club     ,  4 of Diamonds ,  Q of Diamonds ,  A of Spades   ]    
Round  70   [ 5 of Diamonds , 10 of Spades   ,  5 of Club     ,  7 of Hearts   ]    
Round  71   [ 8 of Club     ,  J of Club     ,  3 of Club     ,  8 of Hearts   ]    
Round  72   [ 7 of Diamonds ,  3 of Diamonds ,  5 of Club     ,  K of Diamonds ]    
Round  73   [ 8 of Club     ,  3 of Club     ,  K of Club     ,  7 of Hearts   ]    
Round  74   [ 7 of Spades   ,  9 of Diamonds ,  8 of Club     ,  A of Club     ]    
Round  75   [ 4 of Hearts   ,  7 of Hearts   ,  K of Club     ,  A of Spades   ]    
Round  76   [ 6 of Club     ,  8 of Club     ,  7 of Club     ,  5 of Hearts   ]    
Round  77   [ 8 of Diamonds ,  6 of Spades   ,  2 of Club     ,  3 of Club     ]    
Round  78   [ J of Diamonds ,  5 of Spades   ,  K of Hearts   ,  5 of Club     ]    
Round  79   [10 of Diamonds ,  A of Spades   ,  J of Spades   ,  2 of Diamonds ]    
Round  80   [ 7 of Spades   , 10 of Hearts   , 10 of Spades   ,  7 of Diamonds ]    
Round  81   [ K of Club     , 10 of Club     ,  8 of Diamonds ,  9 of Spades   ]    
Round  82   [ 4 of Club     ,  7 of Spades   ,  K of Diamonds ,  8 of Hearts   ]    
Round  83   [ J of Club     ,  5 of Spades   ,  6 of Club     ,  J of Diamonds ]    
Round  84   [ 4 of Hearts   ,  K of Diamonds ,  A of Hearts   ,  7 of Hearts   ]    
Round  85   [ J of Spades   ,  5 of Club     ,  J of Club     ,  8 of Spades   ]    
Round  86   [ Q of Spades   ,  7 of Diamonds ,  A of Club     ,  K of Club     ]    
Round  87   [ 4 of Spades   ,  A of Diamonds , 10 of Hearts   ,  Q of Hearts   ]    
Round  88   [ 4 of Club     ,  7 of Spades   ,  J of Hearts   ,  3 of Club     ]    
Round  89   [ 7 of Hearts   ,  4 of Club     ,  J of Spades   ,  3 of Club     ]    
Round  90   [ 2 of Diamonds , 10 of Diamonds ,  9 of Hearts   ,  2 of Spades   ]    
Round  91   [ 9 of Hearts   ,  9 of Club     ,  5 of Diamonds , 10 of Diamonds ]    
Round  92   [ J of Diamonds ,  Q of Hearts   ,  3 of Spades   , 10 of Hearts   ]    
Round  93   [ A of Spades   ,  J of Hearts   ,  7 of Diamonds ,  3 of Club     ]    
Round  94   [ Q of Spades   ,  4 of Diamonds ,  6 of Club     ,  A of Spades   ]    
Round  95   [ 6 of Club     ,  5 of Hearts   , 10 of Club     ,  9 of Diamonds ]    
Round  96   [ J of Spades   ,  5 of Spades   ,  3 of Spades   ,  6 of Club     ]    
Round  97   [ 6 of Diamonds ,  J of Spades   , 10 of Club     ,  Q of Hearts   ]    
Round  98   [ 3 of Hearts   ,  3 of Spades   ,  5 of Hearts   ,  9 of Club     ]    
Round  99   [ 8 of Diamonds ,  8 of Club     , 10 of Spades   ,  K of Diamonds ]    
Round 100   [ J of Club     ,  4 of Spades   ,  K of Hearts   ,  Q of Club     ]    
Round 101   [ 8 of Spades   ,  9 of Club     ,  Q of Club     ,  J of Diamonds ]    
Round 102   [ A of Diamonds ,  2 of Diamonds ,  9 of Club     ,  8 of Hearts   ]    
Round 103   [ Q of Spades   ,  8 of Diamonds ,  J of Hearts   ,  8 of Spades   ]    
Round 104   [ A of Diamonds ,  7 of Hearts   ,  6 of Hearts   ,  Q of Club     ]    
Round 105   [ 3 of Hearts   ,  A of Hearts   , 10 of Hearts   ,  2 of Spades   ]    
Round 106   [ J of Spades   ,  4 of Club     ,  7 of Club     ,  6 of Diamonds ]    
Round 107   [ 5 of Club     ,  4 of Diamonds ,  6 of Club     , 10 of Spades   ]    
Round 108   [ 4 of Club     ,  6 of Club     ,  7 of Club     ,  J of Spades   ]    
Round 109   [ 9 of Hearts   ,  2 of Hearts   ,  2 of Club     ,  A of Spades   ]    
Round 110   [ 2 of Club     ,  6 of Club     ,  J of Club     ,  5 of Hearts   ]    
Round 111   [ 5 of Spades   ,  4 of Hearts   ,  J of Diamonds ,  2 of Diamonds ]    
Round 112   [ 7 of Hearts   ,  8 of Hearts   ,  8 of Club     ,  Q of Diamonds ]    
Round 113   [ 4 of Spades   ,  A of Spades   ,  2 of Diamonds ,  3 of Diamonds ]    
Round 114   [ 6 of Hearts   ,  3 of Diamonds ,  8 of Hearts   ,  A of Club     ]    
Round 115   [ 6 of Diamonds , 10 of Spades   ,  Q of Hearts   ,  8 of Diamonds ]    
Round 116   [ 5 of Spades   ,  6 of Diamonds ,  9 of Diamonds ,  5 of Hearts   ]    
Round 117   [ 2 of Spades   ,  5 of Diamonds ,  8 of Hearts   ,  K of Diamonds ]    
Round 118   [ 5 of Diamonds , 10 of Hearts   ,  8 of Diamonds ,  7 of Hearts   ]    
Round 119   [ 2 of Club     , 10 of Diamonds ,  J of Club     ,  Q of Spades   ]    
Round 120   [ 9 of Spades   ,  6 of Club     ,  3 of Club     ,  6 of Spades   ]    
Round 121   [ 6 of Club     ,  7 of Diamonds ,  3 of Club     ,  7 of Club     ]    
Round 122   [ 2 of Spades   ,  4 of Spades   ,  A of Spades   ,  K of Club     ]    
Round 123   [ 3 of Hearts   , 10 of Diamonds ,  9 of Diamonds ,  8 of Spades   ]    
Round 124   [ 5 of Club     ,  2 of Hearts   ,  A of Hearts   ,  9 of Club     ]    
Round 125   [ 3 of Spades   ,  5 of Diamonds ,  8 of Spades   ,  Q of Diamonds ]    
Round 126   [ J of Club     ,  8 of Spades   ,  9 of Hearts   ,  2 of Club     ]    
Round 127   [ 6 of Club     ,  4 of Club     ,  Q of Diamonds ,  7 of Diamonds ]    
Round 128   [10 of Hearts   ,  Q of Spades   ,  9 of Hearts   ,  A of Club     ]    
Round 129   [ 5 of Hearts   ,  Q of Hearts   ,  J of Club     ,  7 of Hearts   ]    
Round 130   [ K of Hearts   ,  8 of Spades   ,  4 of Hearts   ,  6 of Spades   ]    
Round 131   [ 5 of Diamonds ,  9 of Diamonds ,  Q of Hearts   ,  9 of Club     ]    
Round 132   [ 9 of Hearts   ,  Q of Club     ,  7 of Club     ,  6 of Spades   ]    
Round 133   [ 5 of Diamonds ,  3 of Hearts   ,  Q of Spades   ,  Q of Diamonds ]    
Round 134   [ 2 of Hearts   , 10 of Diamonds ,  7 of Diamonds ,  A of Club     ]    
Round 135   [ 6 of Spades   ,  J of Diamonds , 10 of Spades   ,  Q of Club     ]    
Round 136   [ 9 of Spades   ,  4 of Hearts   ,  5 of Spades   ,  6 of Club     ]    
Round 137   [ 9 of Spades   ,  J of Hearts   , 10 of Spades   ,  Q of Hearts   ]    
Round 138   [ J of Spades   ,  8 of Hearts   ,  5 of Diamonds , 10 of Spades   ]    
Round 139   [ 2 of Hearts   ,  5 of Diamonds ,  3 of Diamonds ,  8 of Club     ]    
Round 140   [ 6 of Hearts   ,  7 of Club     ,  K of Club     , 10 of Hearts   ]    
Round 141   [ J of Hearts   ,  6 of Diamonds ,  6 of Spades   ,  6 of Hearts   ]    
Round 142   [ 9 of Spades   ,  6 of Club     ,  8 of Club     ,  8 of Spades   ]    
Round 143   [ 2 of Hearts   ,  J of Spades   ,  2 of Spades   ,  6 of Club     ]    
Round 144   [ 9 of Club     ,  K of Hearts   ,  5 of Club     ,  7 of Diamonds ]    
Round 145   [10 of Spades   ,  J of Diamonds ,  A of Hearts   ,  3 of Diamonds ]    
Round 146   [ 2 of Hearts   ,  7 of Club     ,  K of Club     ,  4 of Spades   ]    
Round 147   [ 8 of Diamonds ,  3 of Hearts   ,  3 of Spades   ,  6 of Spades   ]    
Round 148   [ K of Hearts   ,  K of Diamonds ,  Q of Diamonds ,  5 of Spades   ]    
Round 149   [ 8 of Diamonds ,  3 of Diamonds ,  2 of Diamonds ,  3 of Spades   ]    
Round 150   [ J of Club     ,  Q of Club     , 10 of Club     ,  5 of Diamonds ]    
Round 151   [ 9 of Hearts   ,  3 of Club     ,  A of Spades   ,  J of Hearts   ]    
Round 152   [ K of Club     ,  5 of Diamonds ,  7 of Spades   ,  8 of Hearts   ]    
Round 153   [ 2 of Club     ,  4 of Diamonds ,  J of Diamonds ,  4 of Spades   ]    
Round 154   [ 8 of Spades   ,  J of Club     ,  7 of Spades   ,  9 of Spades   ]    
Round 155   [ K of Hearts   ,  3 of Club     ,  9 of Diamonds ,  6 of Diamonds ]    
Round 156   [ J of Hearts   ,  4 of Diamonds ,  2 of Club     ,  6 of Diamonds ]    
Round 157   [ J of Club     ,  2 of Spades   ,  5 of Hearts   ,  A of Diamonds ]    
Round 158   [10 of Club     ,  4 of Diamonds ,  3 of Spades   ,  Q of Spades   ]    
Round 159   [ Q of Club     ,  5 of Club     ,  9 of Hearts   ,  A of Diamonds ]    
Round 160   [ 4 of Club     ,  K of Club     , 10 of Spades   ,  5 of Hearts   ]    
Round 161   [ 3 of Hearts   ,  Q of Hearts   , 10 of Club     ,  4 of Spades   ]    
Round 162   [ 6 of Spades   ,  9 of Hearts   ,  7 of Hearts   , 10 of Spades   ]    
Round 163   [ 6 of Hearts   ,  K of Hearts   ,  Q of Hearts   ,  A of Hearts   ]    
