Round   1   [ Q of Diamonds ,  K of Club     ,  8 of Diamonds ,  Q of Spades   ]    
Round   2   [ J of Spades   ,  4 of Hearts   ,  Q of Diamonds ,  6 of Spades   ]    
Round   3   [ 2 of Hearts   ,  2 of Spades   ,  3 of Spades   ,  8 of Hearts   ]    
Round   4   [ 9 of Club     ,  7 of Hearts   ,  6 of Diamonds ,  K of Club     ]    
Round   5   [ 9 of Hearts   ,  A of Diamonds ,  7 of Spades   ,  3 of Spades   ]    
Round   6   [ 6 of Spades   ,  7 of Spades   ,  7 of Diamonds ,  J of Club     ]    
Round   7   [ A of Hearts   ,  8 of Spades   ,  7 of Hearts   ,  4 of Club     ]    
Round   8   [ 2 of Spades   ,  J of Hearts   ,  2 of Club     ,  6 of Spades   ]    
Round   9   [ Q of Club     ,  5 of Spades   ,  2 of Spades   , 10 of Spades   ]    
Round  10   [10 of Spades   ,  2 of Hearts   ,  4 of Club     ,  9 of Diamonds ]    
Round  11   [ 2 of Club     ,  5 of Hearts   , 10 of Hearts   ,  5 of Club     ]    
Round  12   [ 8 of Spades   ,  2 of Hearts   ,  J of Spades   ,  K of Club     ]    
Round  13   [ 8 of Diamonds ,  2 of Hearts   ,  9 of Club     ,  6 of Hearts   ]    
Round  14   [ 7 of Club     ,  A of Hearts   ,  K of Club     ,  Q of Hearts   ]    
Round  15   [ 9 of Diamonds ,  3 of Spades   , 10 of Club     ,  4 of Spades   ]    
Round  16   [ 7 of Hearts   , 10 of Diamonds , 10 of Spades   ,  A of Club     ]    
Round  17   [ 8 of Diamonds ,  9 of Hearts   ,  J of Club     ,  9 of Spades   ]    
Round  18   [ Q of Club     ,  5 of Hearts   ,  J of Diamonds ,  4 of Spades   ]    
Round  19   [ 4 of Spades   ,  A of Club     ,  A of Spades   ,  A of Diamonds ]    
Round  20   [10 of Club     ,  8 of Hearts   ,  9 of Diamonds ,  Q of Diamonds ]    
Round  21   [ 3 of Diamonds ,  5 of Spades   ,  6 of Diamonds ,  Q of Spades   ]    
Round  22   [10 of Club     ,  6 of Diamonds ,  Q of Hearts   ,  4 of Hearts   ]    
Round  23   [ 9 of Diamonds ,  7 of Hearts   ,  4 of Diamonds ,  6 of Diamonds ]    
Round  24   [10 of Club     ,  5 of Club     ,  J of Spades   ,  Q of Spades   ]    
Round  25   [ 4 of Hearts   ,  2 of Club     ,  8 of Diamonds ,  7 of Club     ]    
Round  26   [ 5 of Hearts   ,  6 of Club     ,  Q of Spades   ,  J of Hearts   ]    
Round  27   [ 2 of Spades   ,  6 of Spades   ,  5 of Diamonds ,  7 of Diamonds ]    
