Round   1   [ A of Diamonds ,  Q of Diamonds , 10 of Diamonds ,  A of Club     ]    
Round   2   [ 9 of Diamonds ,  8 of Spades   ,  6 of Club     ,  7 of Spades   ]    
Round   3   [ 3 of Club     ,  7 of Club     ,  9 of Spades   , 10 of Spades   ]    
Round   4   [ 5 of Club     ,  9 of Diamonds ,  Q of Club     ,  7 of Hearts   ]    
Round   5   [ 4 of Spades   , 10 of Spades   ,  4 of Club     ,  3 of Hearts   ]    
Round   6   [ 8 of Spades   ,  5 of Spades   ,  5 of Hearts   ,  5 of Diamonds ]    
Round   7   [ 8 of Spades   ,  4 of Diamonds ,  K of Hearts   ,  5 of Hearts   ]    
Round   8   [10 of Spades   ,  3 of Diamonds ,  2 of Club     ,  9 of Spades   ]    
Round   9   [ A of Spades   ,  2 of Spades   ,  6 of Diamonds ,  5 of Club     ]    
Round  10   [ A of Spades   ,  4 of Hearts   ,  J of Spades   ,  4 of Diamonds ]    
Round  11   [ 2 of Diamonds , 10 of Diamonds , 10 of Spades   ,  3 of Hearts   ]    
Round  12   [ 6 of Spades   ,  J of Spades   ,  4 of Club     ,  K of Diamonds ]    
Round  13   [ A of Spades   ,  8 of Diamonds ,  5 of Club     ,  A of Hearts   ]    
Round  14   [ 7 of Club     ,  A of Spades   ,  J of Hearts   ,  8 of Club     ]    
Round  15   [ 8 of Spades   ,  J of Club     ,  3 of Spades   ,  9 of Club     ]    
Round  16   [ 7 of Hearts   ,  6 of Diamonds ,  3 of Diamonds , 10 of Hearts   ]    
Round  17   [ K of Club     ,  A of Club     ,  J of Diamonds ,  A of Spades   ]    
Round  18   [ 2 of Spades   ,  K of Hearts   ,  3 of Spades   ,  6 of Spades   ]    
Round  19   [ A of Hearts   ,  9 of Club     ,  J of Club     ,  8 of Diamonds ]    
Round  20   [ 2 of Spades   ,  7 of Club     ,  Q of Hearts   ,  K of Diamonds ]    
Round  21   [ 7 of Club     ,  5 of Club     ,  9 of Hearts   ,  8 of Club     ]    
Round  22   [ 3 of Diamonds ,  4 of Diamonds ,  5 of Club     ,  5 of Diamonds ]    
Round  23   [10 of Hearts   ,  3 of Hearts   , 10 of Club     ,  6 of Hearts   ]    
Round  24   [ Q of Spades   ,  3 of Club     ,  K of Hearts   ,  8 of Club     ]    
Round  25   [ A of Hearts   ,  2 of Hearts   ,  8 of Diamonds , 10 of Spades   ]    
Round  26   [ A of Hearts   ,  Q of Spades   ,  K of Diamonds ,  K of Hearts   ]    
Round  27   [ 4 of Club     ,  5 of Club     , 10 of Spades   ,  Q of Diamonds ]    
Round  28   [ 5 of Hearts   ,  J of Spades   ,  5 of Spades   ,  7 of Hearts   ]    
